9110 23683
1357 7695 213.58
1357 7693 150.10
1357 8038 113.42
1358 7692 8.57
1358 4472 130.08
1359 1360 126.83
1359 2263 49.92
1360 1359 126.83
1360 2264 49.60
1360 2468 49.75
1361 3492 49.32
1361 1362 128.18
1361 2265 49.04
1361 1360 120.18
1362 3493 49.50
1362 1361 128.18
1362 2266 49.42
1363 2271 48.91
1364 9075 135.97
1364 2267 49.35
1364 9076 48.68
1365 2268 49.41
1365 1366 88.89
1365 8839 62.00
1365 4446 152.50
1366 3389 44.26
1366 2269 49.83
1366 1365 88.89
1367 2262 45.05
1368 1369 118.16
1368 7438 46.58
1368 6151 180.36
1369 1368 118.16
1369 8948 37.82
1369 5826 126.41
1370 1371 65.35
1370 1205 144.36
1370 6563 118.99
1371 1370 65.35
1371 1341 104.97
1371 8730 151.82
1372 1539 91.91
1372 451 71.02
1372 2975 239.39
1373 2201 50.10
1373 8278 13.40
1373 34 93.05
1374 5512 148.64
1374 1375 163.02
1374 8278 36.00
1375 1376 35.93
1375 1374 163.02
1375 5512 81.85
1376 1375 35.93
1377 5527 95.56
1377 2884 156.81
1377 1378 81.90
1378 1379 48.31
1378 1377 81.90
1379 1378 48.31
1379 3628 96.42
1379 1380 173.09
1380 1381 262.98
1380 1379 173.09
1381 2587 190.87
1381 1382 144.58
1381 1380 262.98
1382 6130 17.98
1382 1381 144.58
1383 1389 6.09
1383 1384 99.93
1383 4941 137.29
1384 1385 81.62
1384 4075 80.50
1385 8120 44.57
1385 1642 137.41
1386 1387 52.02
1386 5889 141.93
1386 232 76.25
1387 1388 53.97
1387 5890 142.70
1388 1389 104.81
1388 4767 75.70
1389 1383 6.09
1389 3872 75.78
1390 1391 310.66
1390 8954 102.36
1390 984 81.96
1391 1390 310.66
1392 1393 47.87
1392 7948 215.64
1392 4395 208.00
1393 1394 79.80
1393 1392 47.87
1393 1917 96.55
1394 1393 79.80
1394 1395 62.82
1394 1396 78.73
1395 1396 15.91
1395 1394 62.82
1395 7948 105.70
1396 1395 15.91
1396 1397 141.61
1396 1394 78.73
1397 7585 39.40
1397 1396 141.61
1397 7353 183.85
1398 134 56.53
1398 4826 86.73
1398 5051 93.53
1399 2543 51.89
1399 7526 140.60
1399 91 53.41
1400 1401 135.18
1400 7526 6.38
1400 5964 80.18
1401 1290 80.90
1401 5714 81.57
1401 1402 260.87
1401 1400 135.18
1402 1291 80.25
1402 6597 81.19
1402 1401 260.87
1403 1404 20.87
1403 6160 42.83
1403 4490 15.93
1403 8243 238.05
1404 1403 20.87
1404 4491 64.19
1404 4490 25.76
1405 8028 205.41
1405 2547 94.44
1405 1406 138.64
1405 640 168.12
1406 640 93.33
1406 1405 138.64
1407 1408 86.54
1407 1944 64.39
1407 4967 60.80
1408 1407 86.54
1408 1943 62.39
1409 3375 132.50
1409 1410 74.64
1409 5025 106.04
1410 1411 11.76
1410 2147 152.31
1410 1409 74.64
1411 1410 11.76
1411 1412 47.24
1411 4120 245.18
1412 1413 196.41
1412 1411 47.24
1412 2148 154.22
1413 1414 26.59
1413 1412 196.41
1413 2149 148.14
1414 1413 26.59
1414 1415 113.02
1414 2284 258.61
1415 1416 52.50
1415 1414 113.02
1415 6530 83.65
1416 1417 64.42
1416 1415 52.50
1416 8973 161.44
1417 1416 64.42
1417 8334 80.00
1417 7623 181.54
1418 1419 82.32
1418 5967 186.95
1418 693 82.20
1418 6055 129.55
1419 1420 81.94
1419 1418 82.32
1419 4783 165.21
1419 4782 129.20
1420 1421 58.15
1420 1419 81.94
1420 5431 145.21
1420 5430 128.41
1421 1422 169.05
1421 1420 58.15
1421 5665 128.61
1421 5666 129.71
1422 9091 6.69
1422 3844 47.59
1422 1421 169.05
1423 4636 42.76
1423 0 39.07
1423 1081 121.37
1424 6378 44.45
1424 1425 236.82
1424 1760 48.52
1425 1761 51.54
1425 1426 11.65
1425 1424 236.82
1426 8132 63.03
1426 1425 11.65
1426 6379 46.69
1427 618 97.39
1427 8132 52.09
1427 1762 42.57
1428 1429 68.48
1428 4586 60.68
1428 618 88.27
1429 8997 19.13
1429 1428 68.48
1429 4954 244.92
1430 1431 111.53
1430 4595 57.84
1430 4594 54.22
1431 1430 111.53
1431 6004 52.66
1431 1432 5.31
1432 1433 119.80
1432 1431 5.31
1432 6003 55.40
1433 6406 54.39
1433 6355 59.07
1434 1435 286.42
1434 4348 40.56
1434 4347 63.56
1435 1434 286.42
1435 7486 6.52
1435 6307 75.04
1436 1437 20.67
1436 3095 61.79
1436 3094 79.13
1437 1438 210.71
1437 1436 20.67
1437 4989 101.77
1438 5711 98.47
1438 1437 210.71
1438 5953 75.82
1439 7987 129.63
1439 865 54.10
1439 8297 262.22
1440 62 76.36
1440 1441 17.35
1440 865 58.07
1441 5498 307.85
1441 1442 161.22
1441 1440 17.35
1442 62 192.06
1442 131 45.93
1442 1443 429.25
1442 1441 161.22
1443 1659 59.39
1443 1444 192.72
1443 1442 429.25
1444 7978 59.95
1444 1443 192.72
1444 1659 217.60
1445 3653 70.72
1445 276 55.27
1445 163 54.17
1446 1445 263.21
1446 5159 112.04
1446 1447 167.91
1446 3650 105.32
1447 3652 96.80
1447 967 62.18
1447 1446 167.91
1448 967 165.52
1448 2893 92.60
1448 1449 56.05
1449 7748 62.97
1449 1450 458.52
1449 2639 181.63
1449 1448 56.05
1450 1449 458.52
1451 1465 29.68
1451 1452 166.85
1451 7630 111.45
1452 1451 166.85
1453 1454 195.17
1453 1139 72.86
1453 5454 181.30
1454 5456 134.03
1454 5455 34.90
1454 1455 106.18
1455 3587 41.39
1455 2690 405.64
1455 1454 106.18
1456 5061 64.62
1456 4987 14.74
1456 1457 325.03
1457 6219 55.80
1457 4651 112.55
1457 7817 116.71
1457 1456 325.03
1458 1710 64.48
1458 4819 163.40
1458 7817 265.21
1459 1460 85.36
1459 7646 58.83
1459 8363 101.10
1459 4123 125.69
1460 1459 85.36
1460 4124 123.35
1461 3047 50.29
1461 3046 60.25
1461 5408 77.69
1462 1463 33.07
1462 2424 743.50
1462 3512 118.12
1463 1462 33.07
1463 6959 119.35
1463 1464 155.15
1463 6749 514.84
1464 6308 274.25
1464 1463 155.15
1464 7763 38.95
1465 1451 29.68
1465 7139 31.10
1465 6714 13.35
1465 1466 183.32
1466 1467 296.23
1466 1465 183.32
1466 3132 290.64
1467 8973 177.94
1467 1466 296.23
1467 3132 453.00
1468 1469 53.83
1469 1470 82.62
1469 5313 119.07
1470 75 352.37
1470 4844 44.47
1470 4843 119.66
1471 7473 84.97
1472 7473 4.46
1472 719 67.04
1472 1500 94.48
1473 8211 211.79
1473 7828 13.53
1473 3760 44.79
1474 8211 78.62
1474 1654 137.73
1474 1655 120.30
1475 1476 43.73
1475 5538 63.40
1475 5250 66.87
1475 6382 169.62
1476 1477 41.98
1476 3148 252.16
1477 1212 146.55
1477 1854 98.58
1478 3694 58.89
1478 1479 88.66
1478 3693 102.70
1479 2715 120.59
1479 3576 103.47
1479 1480 90.21
1479 1478 88.66
1480 2716 119.86
1480 6035 80.82
1480 1481 58.93
1480 1479 90.21
1481 1480 58.93
1482 6013 100.70
1483 1133 75.82
1483 3564 127.39
1483 837 197.65
1483 3563 265.46
1484 837 245.40
1485 1486 125.53
1485 93 84.70
1485 4992 95.26
1485 893 423.70
1486 1485 125.53
1486 1487 129.01
1487 1488 244.07
1487 1486 129.01
1487 4993 93.73
1487 896 168.89
1488 5935 148.49
1488 1489 165.16
1488 1487 244.07
1489 5145 141.29
1489 1490 330.50
1489 1488 165.16
1489 897 113.35
1490 1491 220.58
1490 898 109.72
1490 1489 330.50
1490 2658 103.17
1491 3377 99.25
1491 1490 220.58
1491 1492 245.64
1492 3377 226.03
1492 1493 88.82
1492 1491 245.64
1493 5174 330.66
1493 2433 153.64
1493 1494 153.42
1493 2432 221.02
1493 1492 88.82
1494 3263 215.90
1494 1493 153.42
1494 5171 47.59
1495 8448 121.75
1495 5602 88.84
1495 5601 124.67
1496 1497 86.62
1496 3612 67.11
1496 344 92.06
1496 3114 103.20
1497 1498 37.71
1497 1496 86.62
1497 6938 55.37
1498 1497 37.71
1498 1499 118.63
1498 343 94.54
1499 1498 118.63
1499 336 107.02
1499 342 133.45
1499 3662 100.57
1500 1472 94.48
1500 717 114.49
1501 7370 51.18
1501 2041 75.33
1501 2823 137.43
1502 4414 166.73
1502 1503 81.26
1502 2631 120.37
1503 3962 233.51
1503 1502 81.26
1503 4811 176.09
1504 2909 68.69
1504 5042 59.00
1504 7372 27.39
1504 4415 418.86
1505 4994 96.24
1505 1506 60.56
1505 7372 169.01
1506 1507 88.35
1506 4631 101.97
1506 1505 60.56
1507 1508 35.05
1507 1506 88.35
1507 2221 75.63
1508 1507 35.05
1508 4354 96.76
1508 1509 157.83
1509 1124 25.12
1509 1508 157.83
1509 4544 109.54
1510 12 126.79
1511 351 79.65
1511 6159 97.36
1511 958 94.65
1512 1332 392.07
1512 3669 55.02
1512 3668 47.17
1513 83 72.56
1513 1514 193.75
1513 3468 96.56
1513 2198 68.27
1514 1515 63.79
1514 1513 193.75
1514 8074 66.18
1514 2199 137.33
1515 1516 144.98
1515 1514 63.79
1515 8074 92.67
1515 2199 84.29
1516 1515 144.98
1516 1517 99.03
1516 3470 76.60
1516 2048 78.37
1517 1518 108.58
1517 1516 99.03
1517 2049 75.37
1518 110 18.42
1518 1519 116.81
1518 1517 108.58
1518 2050 77.20
1519 8077 70.37
1519 1518 116.81
1519 2050 141.07
1520 1521 85.40
1520 6126 339.93
1520 6127 90.68
1521 1522 87.12
1521 1520 85.40
1521 5499 339.18
1522 1521 87.12
1522 5815 220.84
1522 1523 104.84
1522 5816 83.93
1523 2204 243.17
1523 1524 91.59
1523 1522 104.84
1524 6650 83.36
1524 6366 163.52
1524 1525 88.92
1524 1523 91.59
1525 1524 88.92
1525 5193 32.58
1525 5192 170.61
1526 8018 68.11
1527 1528 157.02
1527 7567 11.93
1528 1527 157.02
1528 4416 39.88
1528 1529 82.92
1528 5772 104.60
1529 4417 40.93
1529 1530 128.37
1529 1528 82.92
1529 5773 103.06
1530 4048 42.62
1530 1531 178.56
1530 1529 128.37
1530 4047 101.66
1531 1532 111.54
1531 1530 178.56
1531 2158 103.04
1531 2159 40.32
1532 1531 111.54
1532 2843 40.18
1532 2842 103.62
1533 1801 74.18
1533 6271 186.22
1533 2588 27.24
1534 1535 63.31
1534 8868 36.38
1534 301 55.78
1535 1536 103.61
1535 1534 63.31
1535 2954 134.61
1536 1537 104.48
1536 1535 103.61
1536 3533 139.72
1537 1538 179.81
1537 1536 104.48
1537 1961 137.55
1538 1537 179.81
1538 451 13.20
1538 5407 169.08
1539 1540 108.01
1539 1372 91.91
1539 2976 231.23
1540 1541 137.55
1540 1539 108.01
1540 454 252.63
1540 5610 86.60
1541 3283 107.03
1541 1542 53.84
1541 1540 137.55
1541 3282 469.98
1542 1541 53.84
1543 2243 47.64
1543 2243 47.64
1543 1544 273.16
1544 1545 101.92
1544 1543 273.16
1544 3213 104.52
1545 1544 101.92
1546 3038 170.26
1547 1548 212.81
1547 7688 151.70
1548 1549 75.81
1548 1547 212.81
1548 7711 70.16
1549 1550 166.74
1549 1548 75.81
1549 4061 54.10
1550 1549 166.74
1551 8407 61.20
1551 1551 0.00
1551 1551 0.00
1552 6930 24.39
1553 9058 4.81
1553 7269 41.01
1553 7268 43.95
1554 1555 125.53
1554 4338 46.10
1555 1554 125.53
1556 1557 262.69
1556 4141 205.99
1556 8158 275.48
1557 1556 262.69
1557 4422 94.17
1557 8691 309.32
1558 8691 29.26
1558 7751 238.65
1558 3528 226.77
1558 8341 66.74
1558 8692 23.99
1559 2421 95.79
1559 1152 229.96
1560 1561 79.48
1560 3835 70.08
1560 2440 167.78
1561 1562 38.04
1561 6253 127.18
1561 1560 79.48
1562 8071 14.08
1562 1561 38.04
1562 6447 133.81
1563 9070 36.36
1563 5300 105.61
1563 5228 112.14
1564 9046 45.50
1565 116 259.63
1565 202 85.83
1565 1616 165.42
1566 2701 39.12
1566 1567 136.57
1566 5529 59.21
1567 1566 136.57
1567 2762 232.55
1567 4435 134.98
1567 1231 443.63
1568 1604 155.65
1568 5489 116.05
1568 1569 88.42
1569 1570 52.77
1569 1605 156.33
1569 1568 88.42
1570 1571 35.27
1570 1569 52.77
1570 1606 154.73
1571 1572 53.92
1571 1570 35.27
1571 1607 154.29
1571 3818 43.63
1572 1571 53.92
1572 54 148.50
1572 3319 298.32
1573 5939 143.44
1573 2558 67.73
1574 1575 119.40
1574 8111 87.51
1574 10 173.82
1575 6974 127.88
1575 1574 119.40
1575 2941 86.30
1575 11 178.65
1576 4382 87.44
1576 1577 240.39
1577 2944 89.18
1577 4937 88.61
1577 1576 240.39
1577 1578 206.35
1578 1577 206.35
1578 1049 66.66
1578 2945 89.45
1578 4938 84.43
1579 1050 83.28
1579 2946 88.19
1579 4939 87.35
1579 1580 165.55
1580 2246 90.17
1580 2245 87.30
1580 1579 165.55
1580 1581 138.33
1581 2781 88.97
1581 2780 85.88
1581 1580 138.33
1581 8166 196.54
1582 2129 89.96
1582 2128 86.99
1582 8166 89.51
1582 1583 89.67
1583 2727 90.58
1583 2726 86.34
1583 1582 89.67
1583 1584 126.41
1584 2949 89.18
1584 1583 126.41
1584 1585 105.68
1585 1895 89.07
1585 1894 89.11
1585 1584 105.68
1586 6760 184.15
1586 4246 131.52
1586 1587 68.81
1586 6786 54.86
1587 7340 64.00
1587 1588 62.55
1587 1586 68.81
1588 7042 32.07
1588 7041 250.98
1588 1587 62.55
1588 6761 164.27
1589 1590 44.25
1590 1591 49.74
1590 1589 44.25
1590 5178 109.40
1591 1590 49.74
1591 6157 50.06
1591 1592 224.10
1592 1593 96.24
1592 5147 52.49
1592 1591 224.10
1593 1592 96.24
1593 2376 52.17
1593 2375 67.28
1594 3270 212.55
1594 8477 173.25
1594 1595 106.21
1595 8251 35.75
1595 3271 212.95
1595 1594 106.21
1595 7938 214.86
1596 4193 275.10
1596 1597 71.88
1596 3272 213.00
1596 8252 53.41
1597 3273 214.28
1597 766 57.22
1597 1596 71.88
1598 3537 118.86
1598 766 82.82
1599 4147 105.28
1599 654 12.13
1600 1601 268.33
1601 1600 268.33
1601 2541 240.13
1601 7597 182.00
1602 1603 17.19
1603 1602 17.19
1603 1604 62.16
1603 7600 83.18
1604 1568 155.65
1604 1605 76.03
1604 1603 62.16
1604 3011 88.71
1605 1569 156.33
1605 1606 55.17
1605 1604 76.03
1606 1570 154.73
1606 1607 31.92
1606 1605 55.17
1607 1571 154.29
1607 1606 31.92
1607 7594 155.95
1608 3378 92.89
1608 1609 75.62
1608 7889 94.94
1608 8832 105.74
1609 7890 229.10
1609 1610 101.22
1609 1608 75.62
1610 6925 286.00
1610 1609 101.22
1610 1611 57.16
1610 3379 147.31
1611 8014 6.56
1611 1610 57.16
1612 8178 198.37
1612 1613 53.45
1612 8014 104.82
1613 1143 82.24
1613 6607 80.92
1613 1612 53.45
1614 5726 154.21
1614 1143 84.71
1614 4754 209.45
1615 4666 84.79
1616 1565 165.42
1616 1080 39.87
1616 5950 220.74
1617 1618 109.99
1617 2540 70.30
1617 2541 222.64
1618 1619 69.05
1618 1617 109.99
1619 1618 69.05
1619 3481 47.30
1619 7913 191.59
1620 7913 63.01
1620 1621 114.58
1620 4332 197.32
1621 1622 245.07
1621 6482 86.17
1621 1620 114.58
1622 1623 122.16
1622 1621 245.07
1622 3831 146.47
1623 1624 139.10
1623 1622 122.16
1623 4335 70.34
1624 36 136.29
1624 1623 139.10
1624 5043 103.37
1625 816 91.17
1625 36 91.04
1625 8085 94.26
1625 5736 292.19
1626 1003 61.01
1626 4318 151.91
1626 1627 176.02
1626 4317 95.72
1627 1628 86.24
1627 1626 176.02
1627 6034 91.52
1628 1629 238.68
1628 1627 86.24
1628 4779 85.51
1628 4778 101.98
1629 1628 238.68
1629 2951 89.03
1630 2692 46.77
1630 1631 86.31
1630 4381 103.09
1630 2190 54.02
1631 1632 62.35
1631 1630 86.31
1631 7428 40.67
1632 7429 2.45
1632 1631 62.35
1632 3297 79.08
1633 1634 65.73
1633 7429 48.59
1633 7433 57.58
1634 1633 65.73
1634 7430 22.66
1634 7433 56.01
1635 4803 70.01
1635 6990 87.56
1635 1636 85.33
1635 6991 77.36
1636 1853 70.21
1636 1637 87.55
1636 1635 85.33
1637 4804 68.22
1637 1636 87.55
1637 1638 87.42
1638 2418 67.00
1638 1637 87.42
1638 1639 87.34
1639 3692 66.74
1639 1638 87.34
1639 1640 87.81
1640 1639 87.81
1640 1641 83.10
1640 3575 66.38
1641 4807 71.81
1641 1640 83.10
1641 8121 34.23
1641 8122 10.43
1642 4076 81.65
1642 1900 81.25
1642 1385 137.41
1642 1643 206.76
1643 3013 49.96
1643 1644 58.69
1643 7696 71.04
1643 1642 206.76
1644 5245 67.05
1644 1643 58.69
1644 1645 47.98
1645 5363 78.92
1645 5667 79.65
1645 1644 47.98
1645 1646 139.35
1646 1647 163.15
1646 2075 101.17
1646 2074 103.94
1646 1645 139.35
1647 1646 163.15
1647 1648 135.77
1647 5352 104.34
1648 1649 168.20
1648 1647 135.77
1648 3852 100.38
1649 1648 168.20
1649 6097 100.21
1650 6868 25.83
1650 1825 142.54
1650 2355 110.60
1651 1826 88.45
1651 8226 143.00
1651 1825 110.17
1652 1653 179.00
1652 5108 71.89
1653 7632 3.97
1653 3919 71.94
1654 1474 137.73
1654 4839 22.92
1654 5877 88.57
1655 1656 120.63
1655 1474 120.30
1655 4339 77.51
1656 1655 120.63
1656 1974 79.29
1656 5055 82.80
1657 1658 91.61
1657 6310 139.43
1657 3071 144.57
1658 1657 91.61
1658 8170 39.44
1658 6311 88.97
1659 1660 34.40
1659 1444 217.60
1659 1443 59.39
1660 1659 34.40
1661 7638 22.06
1661 2003 260.50
1662 1663 203.76
1662 2563 32.31
1662 2562 87.19
1663 1664 159.72
1663 1662 203.76
1663 5461 80.19
1663 2988 71.40
1664 1663 159.72
1664 1665 238.62
1664 2989 70.13
1665 1666 23.31
1665 1664 238.62
1665 3367 77.74
1666 1665 23.31
1667 7580 535.06
1667 2964 127.90
1668 5628 89.01
1668 8240 182.80
1668 4704 135.27
1669 1670 59.38
1669 3956 80.12
1669 452 229.89
1670 1669 59.38
1671 1342 42.73
1671 3365 85.18
1671 1672 132.67
1672 1673 41.09
1672 3912 80.71
1672 1343 37.86
1672 1671 132.67
1673 1672 41.09
1674 6254 167.64
1674 527 46.18
1674 2482 695.57
1675 6812 25.64
1675 3485 233.81
1676 4522 299.00
1676 8040 69.69
1677 1676 103.45
1678 7566 45.22
1678 705 87.08
1678 5774 31.43
1679 1680 36.87
1679 1792 232.59
1679 7566 58.25
1680 1679 36.87
1680 1681 11.32
1681 1680 11.32
1681 1682 78.63
1682 1683 17.31
1682 4909 60.17
1682 1681 78.63
1683 1682 17.31
1683 1217 102.22
1683 6747 93.82
1684 5753 175.11
1684 1685 51.85
1684 6747 81.79
1685 6812 43.70
1685 3372 113.91
1685 1684 51.85
1686 1687 22.63
1687 6813 13.24
1687 1675 20.41
1688 4523 203.19
1688 1689 103.50
1689 5755 260.08
1689 1690 96.57
1690 1677 97.57
1690 1691 107.43
1690 5776 303.37
1691 1692 138.99
1691 1690 107.43
1691 2212 258.35
1692 1693 103.56
1692 1691 138.99
1692 4681 218.23
1693 1694 61.70
1693 1692 103.56
1693 2215 259.08
1694 1695 58.63
1694 1693 61.70
1694 2059 194.49
1695 1696 56.01
1695 1694 58.63
1695 9021 184.27
1696 520 57.45
1696 1695 56.01
1696 4548 178.58
1697 1698 106.63
1697 520 112.35
1697 2217 259.36
1697 4682 136.84
1698 761 84.42
1698 1697 106.63
1698 762 258.88
1698 4684 119.69
1699 761 79.76
1699 5364 304.70
1699 4685 144.80
1699 1700 83.96
1700 1701 91.21
1700 5605 283.27
1700 1699 83.96
1700 4686 156.52
1701 2069 163.22
1701 7796 209.34
1701 1702 82.90
1701 1700 91.21
1702 5579 139.94
1702 1701 82.90
1702 5580 98.60
1703 1350 59.81
1703 1704 213.14
1704 1351 48.10
1704 1353 320.22
1704 7615 20.81
1705 8115 119.90
1705 1706 95.04
1705 292 49.30
1706 1869 24.51
1706 1705 95.04
1706 8116 101.45
1707 5061 80.73
1707 212 27.83
1707 1708 178.13
1707 1975 149.36
1708 1707 178.13
1709 7743 265.24
1709 1710 107.09
1709 8770 171.21
1710 1458 64.48
1710 5640 193.70
1710 1711 92.13
1710 1709 107.09
1711 6238 182.27
1711 1712 72.68
1711 1710 92.13
1712 4819 68.60
1712 6495 160.00
1712 7741 24.87
1712 1711 72.68
1713 1714 115.86
1713 4237 75.71
1713 3356 105.65
1714 1715 162.84
1714 1713 115.86
1714 3656 76.79
1714 932 84.69
1715 1714 162.84
1715 4238 77.47
1715 6536 113.25
1716 7578 153.73
1716 1717 95.72
1716 1946 27.31
1717 6080 169.01
1717 1716 95.72
1717 1283 219.64
1718 7349 154.69
1719 2401 169.79
1720 6546 59.86
1720 7476 266.43
1720 8344 61.68
1721 6002 64.91
1721 1722 85.23
1721 283 164.53
1722 2686 97.12
1722 1723 47.07
1722 1721 85.23
1723 2687 123.01
1723 1724 136.33
1723 1722 47.07
1724 1723 136.33
1724 1725 117.44
1724 5683 115.74
1725 5683 63.35
1725 1724 117.44
1725 1726 126.54
1726 1725 126.54
1726 216 153.83
1727 7687 54.67
1727 216 91.87
1727 6248 196.43
1728 7687 223.32
1728 148 101.54
1728 147 113.50
1729 7688 68.97
1729 5456 101.09
1729 1281 87.78
1730 1281 7.91
1730 1299 201.90
1730 1731 108.82
1731 1732 49.53
1731 1298 170.36
1731 1730 108.82
1732 1731 49.53
1732 1733 79.57
1732 4567 351.92
1733 1732 79.57
1733 6188 335.25
1733 1734 228.29
1734 4864 57.36
1734 1227 119.57
1734 4863 165.44
1734 1733 228.29
1735 3587 19.27
1735 8138 258.42
1735 3586 71.11
1736 1737 126.76
1736 8984 140.97
1736 5443 162.07
1737 1736 126.76
1738 428 40.47
1738 1909 240.65
1738 259 78.12
1739 1740 31.90
1739 428 36.53
1739 1913 200.73
1740 1741 34.00
1740 1739 31.90
1740 1914 191.90
1741 1740 34.00
1741 1930 83.41
1741 2551 73.22
1741 1915 182.73
1742 6088 248.65
1742 4531 121.40
1742 1743 97.76
1742 7400 1167.00
1743 5618 205.23
1743 5617 219.43
1743 1742 97.76
1743 1744 96.72
1744 6177 186.21
1744 1743 96.72
1745 329 52.93
1745 1746 125.98
1745 7455 49.56
1746 1881 48.15
1746 330 50.83
1746 1745 125.98
1746 1747 121.48
1747 1748 127.42
1747 1882 49.60
1747 331 51.02
1747 1746 121.48
1748 1747 127.42
1748 1883 50.10
1748 1749 118.07
1749 4739 50.23
1749 1748 118.07
1749 438 135.95
1749 1884 49.59
1750 1751 188.14
1750 1878 49.76
1750 7461 67.87
1751 1750 188.14
1751 1879 50.70
1751 7462 67.54
1752 1753 92.20
1752 195 43.71
1752 5223 88.57
1753 1752 92.20
1754 1055 22.38
1754 5556 82.42
1754 1200 194.71
1755 999 285.85
1755 6116 91.72
1755 4264 58.02
1756 1757 36.00
1756 5118 87.53
1757 1756 36.00
1758 1759 61.56
1758 5487 179.99
1758 3041 58.23
1759 1758 61.56
1759 1760 80.90
1759 5009 175.23
1760 1424 48.52
1760 1759 80.90
1760 3042 70.07
1761 1425 51.54
1761 8916 12.06
1761 8358 33.01
1762 7595 59.23
1762 1427 42.57
1762 2480 60.69
1763 1764 85.63
1763 8565 199.23
1763 8577 241.44
1764 1763 85.63
1764 2794 80.17
1764 6210 248.21
1765 3834 299.70
1766 5940 77.12
1766 1767 79.38
1766 8928 171.84
1767 5127 68.99
1767 5126 77.39
1767 1766 79.38
1768 1769 41.29
1768 3418 115.14
1768 5959 101.64
1769 340 78.86
1769 1768 41.29
1769 3419 115.52
1769 5727 102.39
1770 340 35.76
1771 9004 13.91
1771 8273 132.54
1771 3010 71.98
1771 5948 109.88
1772 3010 45.39
1772 3009 101.14
1772 1773 39.97
1773 6507 101.02
1773 1774 38.77
1773 5949 76.67
1774 4972 100.97
1774 4973 106.00
1774 1775 79.32
1775 3759 101.10
1775 3758 100.15
1775 1776 79.38
1776 6289 101.06
1776 6288 99.59
1776 9044 53.00
1777 3998 101.00
1777 1778 39.70
1777 3999 98.83
1778 1777 39.70
1779 6646 9.76
1779 95 258.20
1779 4141 88.15
1780 7580 68.55
1780 1781 106.20
1781 3243 51.64
1781 1782 25.20
1781 7074 115.05
1782 2188 194.89
1782 1781 25.20
1782 1783 44.28
1783 5204 51.83
1783 1782 44.28
1784 8932 61.54
1785 4421 43.71
1785 1786 38.52
1785 8932 47.22
1786 6724 44.46
1786 1787 38.53
1786 8930 80.44
1786 1785 38.52
1787 1786 38.53
1787 3926 320.58
1787 3925 143.19
1788 1789 169.95
1788 7569 50.27
1788 401 46.84
1789 1788 169.95
1789 773 344.40
1789 4735 89.26
1789 2841 85.56
1790 773 79.29
1790 1791 76.63
1790 3848 64.58
1791 1790 76.63
1791 1792 97.83
1791 2842 132.43
1791 4738 67.82
1792 1793 71.68
1792 1791 97.83
1793 1794 49.04
1793 1792 71.68
1793 2843 223.33
1794 1793 49.04
1794 1795 53.28
1795 1216 95.02
1795 6900 36.65
1795 1794 53.28
1796 1797 145.19
1797 1796 145.19
1797 1872 169.38
1797 6275 97.97
1798 4665 68.02
1798 366 226.53
1798 6192 79.84
1799 732 51.90
1800 1801 130.99
1800 8799 32.09
1800 4519 83.98
1801 1533 74.18
1801 1800 130.99
1801 936 37.98
1802 5395 76.43
1802 5903 47.54
1802 1803 321.04
1803 3055 394.58
1803 1804 128.11
1803 1802 321.04
1804 1263 95.70
1804 7262 198.55
1804 1803 128.11
1805 6224 107.97
1806 1807 51.94
1806 5883 40.55
1806 2537 42.45
1807 1806 51.94
1807 850 80.93
1807 4566 233.59
1807 1808 56.17
1808 1809 33.36
1808 1807 56.17
1808 4824 222.16
1809 1810 17.29
1809 1808 33.36
1809 849 99.02
1810 1811 27.58
1810 1809 17.29
1810 6428 209.45
1811 1810 27.58
1811 848 109.60
1811 1812 55.16
1812 847 120.55
1812 1811 55.16
1812 6439 192.59
1813 4987 27.22
1813 1814 144.44
1813 4112 156.92
1814 1813 144.44
1814 3138 134.76
1815 3848 19.47
1816 1817 200.51
1816 7673 79.48
1816 8637 189.95
1817 5270 74.76
1817 1816 200.51
1818 1819 177.10
1818 8860 10.16
1818 2032 36.12
1819 4483 79.22
1819 8859 55.80
1819 1820 79.27
1819 1818 177.10
1820 2452 80.18
1820 1821 144.69
1820 1819 79.27
1821 2886 90.80
1821 2885 82.23
1821 1822 104.43
1821 1820 144.69
1822 4263 87.70
1822 5995 83.62
1822 1821 104.43
1823 1824 109.92
1823 4933 108.01
1823 3623 142.66
1823 1267 136.98
1824 1823 109.92
1824 1825 110.84
1824 2355 143.37
1825 1650 142.54
1825 4920 211.53
1825 1824 110.84
1825 1651 110.17
1826 1651 88.45
1826 8213 41.71
1826 1827 67.45
1827 4832 163.04
1827 1828 77.09
1827 1826 67.45
1828 1829 6.57
1828 1827 77.09
1829 1828 6.57
1829 1830 72.14
1829 2800 81.08
1830 1831 43.00
1830 1829 72.14
1830 4834 163.29
1831 1830 43.00
1831 4835 166.27
1831 2801 82.69
1831 1832 108.72
1832 4619 189.87
1832 4618 197.00
1832 1833 108.57
1832 1831 108.72
1833 5337 189.95
1833 4923 198.37
1833 1834 107.83
1833 1832 108.57
1834 1835 90.18
1834 1833 107.83
1834 6154 190.28
1834 4924 196.73
1835 4403 190.58
1835 4402 197.19
1835 1836 78.39
1835 1834 90.18
1836 5262 189.94
1836 4925 197.18
1836 1837 77.95
1836 1835 78.39
1837 4465 189.94
1837 4464 196.86
1837 1838 78.44
1837 1836 77.95
